Place,City,Status
Coringa Wild Life Sanctury,Kakinada,Visited
kkd beach,Kakinada,Visited
uppada beach,Kakinada,Visited
Charminar,Hyderabad,Visited
Golconda Fort,Hyderabad,Visited
Shri Jagannath Temple,Hyderabad,Visited
Shilparamam,Hyderabad,Visited
Hussain Sagar,Hyderabad,Visited
Lumbini Park,Hyderabad,Visited
Biodiversity Complex ,Hyderabad,Visited
Birla mandir,Hyderabad,Visited
Birla science museum,Hyderabad ,Visited
Ramoji Film City,Hyderabad,Visited
Ananthagiri Hills,Hyderabad,Visited
Salar jang Museum,Hyderabad,Visited
Shri Jagannath temple,Hyderabad ,Visited
Andhra Sabarimala,,Visited
Nehru Zooligical Park,Hyderabad,Visited
Papi Kondalu,,Visited
Watch  Tower,vizianagaram,Visited
Kailasagiri,VSKP,Visited
Indira Gandhi Zoological Park,VSKP,Visited
Eat Sreet,Hyderabad,Visited
Vanajangi,Vanajangi,Visited
boora caves,Araku,Visited
padampuram botanical garden,Araku,Visited
galikonda view point,Araku,Visited
coffee museum,Araku,Visited
chaparai waterfall,Araku,Visited
"Qutab Shahi Tombs
",Hyderabad,Visited
Sudha Car Museum,Hyderabad,Visited
Kanipakam Temple,Tirupati,Visited
Srikalahasti Temple,Tirupati,Visited
Srivari Padalu,Tirumala,Visited
Silathoranam,Tirumala,Visited
Srivari Mettu,Tirumala,Visited
Rock Garden,Tirumala,Visited
Sri Padmavathi Ammavari,Tirupati,Visited
Vemulawada Temple ,Karimnagar,Visited
